egzema	eczema	
zysk	profit, gain; benefit	Gsg: -u<br>przynosić zysk - to yield a profit<br>sprzedawać z zyskiem - to sell at a profit<br>spadek zysków - fall in profits
Bułgaria	Bulgaria	Gsg: -ii
wytrzymałość	stamina, endurance; resistance; durability	
naczelnik	chief, head, superior	naczelnik poczty - postmaster<br />naczelnik więzienia - governor (of prison)<br />naczelnik powstania - commander<br />naczelnik plemienia - chief (of tribe)
szaleć	to run wild, to be crazy, to rage (vi)	szaleję -jesz
ratusz	town hall, city hall	Gsg: -a
palny	combustible, inflammable	broń palma - firearms
poszkodowany	injured	być poszkodowanym w wypadku - to be injured in an accident
rozbierać się, rozebrać się	to get undressed	-am -asz, -biorę -bierzesz rozbierz<br />rozbierać się do naga - to strip naked
strajkować, zastrajkować	to strike, to go on strike	-kuję -kujesz
urzędas	pen-pusher, bureaucrat (pej.)	Npl: urzędasy
dowóz	delivery, supply, transportation	Gsg: dowozu
przywilej	privilege	Gsg: -u
przysięgły	sworn, certified	tłumacz przysięgły - sworn translator/interpreter
kieszeń (f)	pocket	GDLsg: kieszeń, NApl: kieszenie, Gpl: kieszeni
Malezyjczyk, Malezyjka	Malaysian (person)	Npl of Malezyjczyk: Malezyjczycy
naszyjnik	necklace	Gsg: -a
komandos	commando, ranger	
połyskiwać	to shimmer, to glitter (vi)	-kuję -kujesz
jedynka	one, number one (e.g. bus) (n)	
ekscytujący	exciting	
loteria	lottery	Gsg: -ii
rozstrzygający	decisive	rozstrzygający głos - casting vote
zguba	loss; lost property; undoing, destruction	
szwagier	brother-in-law	Gsg: szwagra, Npl: szwagrowie<br>husband of sister or brother of wife/husband<br>also husband of sister-in-law
przemożny	overpowering	
konspiracja	conspiracy; (the) underground	
czucie	feeling	
kończyna	limb	
strój	dress, attire, apparel; tune, key (music)	Gsg: stroju<br>strój ludowy - national dress/costume<br>strój wieczorowy - evening dress, evening wear<br>strój żałobny - mourning clothes<br>strój kąpielowy - swimsuit
park narodowy	national park	
przemysł	industry	Gsg: -u<br />przemysł ciężki - heavy industry<br />przemysł górniczy - mining<br />przemysł samochodowy - automotive industry<br />przemysł spożywczy - food industry
puma	puma	
pachnieć	to smell (of something) (vi)	-chnę -chniesz<br />pachnieć czymś (instrumental) - to smell of something<br />Ładnie pachniesz - You smell good
pożyczka	loan (n)	udzielać komuś pożyczki - to give somebody a loan
programista, programistka	programmer	Npl of programista: programiści
szatyn, szatynka	person with dark/brown/auburn hair	
wykład	lecture	Gsg: -u
rywalizacja	rivalry	
konkurent, konkurentka	competitor	
jaszczurka	lizard	
nosze	stretcher	plural, Gpl: noszy
młyn	mill	Gsg: -a
sięgać, sięgnąć	to reach (for); to span, to stretch	-am -asz, -nę -niesz<br />sięgać po (+ accusative) - to reach (out) for...<br />sięgać po władzę - to seize power<br />jak okiem sięgnąć - as far as the eye can see
najeżdżać, najechać	to invade; to run (into something); to place, to move (cursor)	-am -asz, -jadę -jedziesz najedź<br />najeżdżać na kraj - to invade a country<br />najeżdżać na drzewo/krawężnik - to run into a tree/kerb<br />najeżdżać [kursorem] / [kursorem myszy] na (+ accusative) - to place the [cursor] / [mouse pointer] over...
wymierzać, wymierzyć	to measure; to inflict, to mete out, to administer; to aim	-am -asz, -rzę -rzysz<br />wymierzać długość - to measure the length<br />wymierzać karę - to mete out a punishment<br />wymierzać sprawiedliwość - to administer justice<br />wymierzać komuś policzek - to slap somebody in the face<br />wymierzać komuś cios - to deal somebody a blow<br />wymierzać do kogoś z karabinu - to aim a rifle at somebody
piknik	picnic	Gsg: -u
chylić	to incline, to bend (vi)	chylić się - to incline (intransitive)<br>chylić się ku upadkowi - to be on the decline
nienawidzić	to hate, to detest (vi)	-dzę -dzisz<br />nienawidzić kogoś/czegoś (genitive) - to hate somebody/something<br />nienawidzić się - to hate each other
wykluczony	excepted; excluded	(to jest) wykluczone - it is out of the question!
karnawał	carnival	Gsg: -u
porządkowy	serial, ordinal	
zwrot	bend; reimbursement, refund; expression, phrase	Gsg: -u<br>zwrot frazeologiczny - set phrase
wyczarowywać, wyczarować	to conjure up	-ruję -rujesz
pożytek	benefit, advantage	Gsg: pożytku<br />z pożytkiem dla (+ genitive) - to somebody's benefit<br />mieć pożytek z (+ genitive) - to derive benefit from...
głąb	stalk, stump (of cabbage etc); idiot	Gsg: głąba
wabik	decoy, hook, enticement	Gsg: -a
faszyzm	fascism	Gsg: -u
komitet wykonawczy	executive committee	
chroniony	protected	
wycofywać się, wycofać się	to withdraw, to retreat; to retire	-fuję -fujesz, -am -asz
czeladnik	apprentice	Npl: czeladnicy
rewelacyjny	sensational, fantastic	
szkolić, przeszkolić	to school, to train	-lę -lisz szkól<br />szkolić się - to train
uwodzić, uwieść	to captivate, to charm, to seduce	-dzę -dzisz, uwiodę uwiedziesz uwiedź uwiódł uwiodła uwiedli
ekstremista, ekstremistka	extremist	Npl of ekstremist: ekstremiści
kapryśny	capricious; unpredictable; fussy; moody	kapryśna pogoda - capricious/unpredictable weather
hinduski	Hindu, Hindi (adj)	
radar	radar	Gsg: -u
Norweg, Norweżka	Norwegian (person)	Npl of Norweg: Norwedzy/Norwegowie
utrzymanie	maintenance, livelihood	
nieśmiertelny	immortal	
krab	crab	
odmieniać, odmienić	to change, to transform; to be inflected (grammar)	-iam -iasz, -nię -nisz<br>odmieniać się, odmienić się - to inflect (intransitive)<br>Słowo się nie odmienia - The word is not inflected
poślizgnąć się/pośliznąć się	to slip (vp)	-nę -niesz<br />Poślizgnęla się na lodzie - She slipped on the ice
symulacja	simulation	
tęsknota	longing, yearning	
odlatywać, odlecieć	to depart (by air), to take off, to fly away	-tuję -tujesz, -cę -cisz
car, caryca	tsar, tsarina	Npl of car: carowie
biegłość	proficiency; fluency (languages)	
układać się, ułożyć się	to negotiate, to shape (up); to lie down, to recline	-am -asz, -żę -żysz
zakłócać, zakłócić	to disrupt, to disturb	-am -asz, -cę -cisz<br />zakłócać porządek publiczny - to disturb the peace<br />zakłócać czyjąś prywatność - to invade somebody's privacy
niewybaczalny	unforgivable, inexcusable	
sierżant	sergeant	
popyt, zapotrzebowanie	demand	Gsg of popyt: -u<br />popyt/zapotrzebowanie na (+ accusative) - demand for...
podpaska	sanitary towel	podpaska higieniczna - sanitary towel
tłuc, stłuc/potłuc/roztłuc	to break, to shatter, to crush	tłukę tłuczesz tłukł tłucz<br />tłuc sobie kolano - to bruise one's knee
duchowy	spiritual, inner (adj)	
cierpliwość	patience	nie mieć cierpliwości do (+ genitive) - to have no patience with...<br />Już nie mam cierpliwości do tego auta - I don't have any patience with this car any more
swoboda	freedom, liberty; ease	Gpl: swobód<br>swobody obywatelskie - civil liberties<br>swoboda działania - free hand<br>swoboda ruchów - liberty of movement
wybierać się, wybrać się	to set off, to set out, to go (somewhere)	-am -asz, -biorę -bierzesz wybierz<br />wybrać się do kogoś z wizytą - to pay somebody a visit<br />wybrać się w podróż - to set out on a journey<br />wybrać się na spacer - to go for a walk<br />wybrać się do teatru - to go to the theatre
meczet	mosque	Gsg: meczetu
ceniony	respected, valued	
ochrona	protection; guard	pod ochroną - under protection<br />ochrona przed (+ instrumental) - protection against...<br />ochrona środowiska - environmental protection<br />ochrona przeciwpożarowa - fire protection<br />ochrona zabytków - conservation (of monuments etc)<br />ochrona osobista - personal security<br />pracownik ochrony - security guard
czarownica, wiedźma	witch	
obliczać, obliczyć	to calculate, to compute; to evaluate, to estimate	-am -asz, -czę -czysz
brąz	bronze; brown (n)	Gsg: -u<br>epoka brązu - the bronze age
szlachetny (szlachetniejszy, najszlachetniejszy)	nobel (nobler, noblest)	metal szlachetny - precious metal
Ameryka Północna	North America	
zbiorowy	collective (adj)	
śledzić	to track, to spy, to follow, to shadow (vi)	-dzę -dzisz śledź
kieliszek	wineglass	Gsg: kieliszka
zezwalać, zezwolić	to permit, to allow (officially or in law)	-am -asz, -lę -lisz<br />zezwalać komuś (dative) na coś (accusative) - to permit somebody something
wdawać się, wdać się	to get into, to go into, to enter (discussion); to intervene	-daję -dajesz, -dam -dasz -dadzą<br />wdawać się w (+ accusative) - to get into... / to go into...<br />wdawać się w szczegóły - to get into details<br />wdawać się w bójkę - to get into a fight<br />wdawać się w złe towarzystwo - to get into bad company<br />wdawać się w dyskusję - to enter into a discussion
uszkodzenie	damage, harm, injury	
powalać, powalić	to strike down, to knock down, to overthrow	-am -asz, -lę -lisz<br />powalić kogoś na ziemię - to floor somebody
promować, wypromować	to promote; to confer; to supervise	-wuję -wujesz<br />promować do (+ genitive) - to promote to...
wytłumaczyć się	to excuse oneself (vp)	-czę -czysz
pierwotny	primary, primitive, original	
zabiegać, zabiec	to try to get, to seek, to strive for; to bar	-am -asz, -nę -niesz zabiegł zabiegnij<br />zabiegać o coś - to strive towards something<br />zabiegać komuś (dative) drogę - to bar somebody's way<br />zabiegać o czyjejś względy - to try to win somebody's favour
płatek	petal; piece, slice	płatek ucha - earlobe<br />płatki śniegu - snowflakes<br />płatki róży - rose petals<br />płatki owsiane - oatflakes<br />płatki kukurydziane - cornflakes
kpić, wykpić/zakpić	to mock, to laugh	kpię kpisz<br />kpić z (+ genitive) - to mock..., to laugh at...
zadowolenie	satisfaction, contentment	zadowolenie z pracy - job satisfaction<br />robić coś z zadowoleniem - to take pleasure in doing something
giełda	exchange, stock exchange	giełda papierów wartościowych - stock exchange<br>giełda antyków - antique market<br>giełda samochodowa - (used) car mart
Cerkiew (f)	the Orthodox Church	
strzelać, strzelić	to fire, to shoot	-am -asz, -lę -lisz<br />strzelać z (+ genitive) - to shoot with...<br />strzelać piłkę do bramki - to shoot the ball into the goal
palma	palm (tree)	
nadchodzić, nadejść	to approach, to come, to arrive	-dzę -dzisz, nadejdę nadejdziesz nadejdź nadszedł nadeszła
chłód, ziąb	cold, chill	Gsg: chłodu, ziąbu
sześcienny	cubic (adj)	metr sześcienny - cubic metre
romański	Romance, Romanesque	
niesmak	distaste	Gsg: -u
w ciąży	pregnant	
potykać się, potknąć się	to trip, to stumble	-am -asz, -knę -kniesz<br />potykać się o (+ accusative) - to trip/stumble over/on...<br />Potknąłem się o krawężnik - I stumbled on the kerb
arcydzieło	masterpiece	
awiso	advise note	
poboczny	secondary, minor, ancillary, subsidiary	
tabela	table, chart, schedule	
wieśniak, wieśniaczka	villager, peasant	
wyrabiać, wyrobić	to make, to do; to develop, to manufacture; to knead (dough)	-iam -iasz, -bię -bisz<br />Co ty wyrabiasz? - What do you think you're doing? (colloq.)<br />wyrabiać mięśnie - to build/tone one's muscles<br />wyrabiać sobie zdanie na temat czegoś - to form an opinion about something<br />wyrabiać sobie złą opinię - to gain a bad reputation<br />wyrabiać sobie paszport - to get a passport
poinformowany	informed about, knowledgeable	
struna	string, cord	e.g. string of a musical instrument, tennis racket etc<br />struny głosowe - vocal cords
flirtować	to flirt (vi)	-tuję -tujesz
przeoczać, przeoczyć	to overlook; to miss (chance)	-czę -czysz
przedmiot	object, article, subject, topic	Gsg: -u
działo, armata	gun, cannon	
płetwonurek	(scuba) diver, frogman	Npl: płetwonurkowie
Chilijczyk, Chilijka	Chilean (person)	"Npl of Chilijczyk: Chilijczycy<br />Pronounced ""Czilijczyk, Czilijka"""
spółka akcyjna	joint-stock company	
kopalnia	mine (gold, silver etc)	Gsg: -i<br>kopalnia węgla/soli/złota/srebra/żelaza - coal/salt/gold/silver/iron mine<br />kopalnia wiadomości - a gold mine of information
opór	resistance, opposition	Gsg: oporu
reprezentować	to represent (vi)	-tuję -tujesz
przeszłość	the past (n)	to należy do przeszłości - that's a thing of the past<br>żyć przeszłością - to live in the past
nadprzyrodzony, nadnaturalny	supernatural, miraculous	
wydma	dune	ruchome wydmy - shifting dunes
zmysłowy	sensual; sensory	wrażenie zmysłowe - sensory
ubezpieczać, ubezpieczyć	to insure; to cover; to belay (climbing)	-am -asz, -czę -czysz<br />ubezpieczać od (+ genitive) - to insure against...<br />ubezpieczać się, ubezpieczyć się - to insure oneself<br />ubezpieczać się na życie - to insure one's life
system słoneczny	solar system	
mumia	mummy	Gsg: -ii
ostrzyć, naostrzyć	to grind, to hone, to whet; to sharpen	-rzę -rzysz<br>ostrzyć sobie zęby na (+ accusative) - to have one's eye on
zdobywca	conqueror, winner	
angażować, zaangażować	to employ, to hire, to engage (somebody)	-żuję -żujesz<br />angażować się - to take a job, to get involved
marsz	march	Gsg: -u<br />naprzód marsz! - forward march!<br />marsz weselny/żałobny - wedding/funeral march
Grecja	Greece	
przystojny (przystojniejszy, najprzystojniejszy)	handsome (more handsome, the most handsome)	
koszmarny	nightmarish	
odwet, zemsta	retaliation, revenge, vengeance	Gsg of odwet: -u<br />w odwecie za (+ accusative) - in retaliation for...<br>dokonać zemsty na (+ locative) - to take revenge on...
jabłoń (f)	apple tree	GDLVsg: jabłoni, NAVpl: jabłonie, Gpl: jabłoni
krawędź (f)	edge, rim, ridge, verge	GDLVsg: krawędzi, Npl: krawędzie, Gpl: krawędzi
wcielać, wcielić	to incorporate	-am -asz<br />wcielać się - to be incorporated<br />wcielać do (+ genitive) - to incorporate into...
kląć	to curse, to swear (vi)	klnę klniesz klął klęła klnij<br />kląć na (+ accusative) - to swear at...<br />kląć jak szewc - to swear like a trooper (literally shoemaker)<br />kląć się - to swear<br />kląć się na Boga - to swear by God
Macedończyk, Macedonka	Macedonian (person)	Npl of Macedończyk: Macedończycy
zdziwienie	surprise, astonishment	ku czyjemuś zdziwieniu - to somebody's surprise
chiński	Chinese (attr, language)	
dureń	blockhead, idiot, fool	Gsg: durnia<br>zrobić durnia z (+ genitive) - to make a fool of...
walka	fight, struggle, combat	
wyskakiwać, wyskoczyć	to jump out (of); to pop out	-kuję -kujesz, -czę -czysz<br />wyskoczyć przez okno - to jump out of the window
dzierżawa	lease, tenancy	
wstydzić się	to be/feel ashamed (vi)	-dzę -dzisz wstydź<br />wstydzić się (+ genitive) - to be ashamed of...<br />Wstydzę się swojego ciała - I'm ashamed of my body
cel	target, aim, goal, purpose	Gsg: -u
zrozumiały	intelligible, comprehensible	
ubiegłoroczny	last year's (adj)	
trujący	poisonous, toxic	
wykonywać, wykonać	to carry out, to execute; to produce; to fulfil (requirements)	-nuję -nujesz, -am -asz
przesadzony, przesadny	exaggerated, excessive	
łączyć się, połączyć się	to be joined, to be united, to merge, to come together; to get through (telephone)	-czę -czysz
język ojczysty	mother tongue	
pasierbica	stepdaughter	
załączać, załączyć	to enclose, to connect, to attach (e.g. to e-mail)	-am -asz, -czę -czysz
bieda	poverty, want, need; trouble, problem, bother	bieda w tym, że - the trouble is that<br />przyjaciół poznaje się w biedzie - a friend in need is a friend indeed<br />dotknięty biedą - poverty-stricken
uraz	injury; trauma	Gsg: -u
akapit	paragraph, section	Gsg: -u
szeptać, szepnąć	to whisper	"<span style=""font-weight:600; font-style:italic;"">szepczę</span>/szepcę <span style=""font-weight:600; font-style:italic;"">szepczesz</span>/szepcesz <span style=""font-weight:600; font-style:italic;"">szepcz</span>/szepc, -nę -niesz"
ideologia	ideology	Gsg: -ii
kapać, kapnąć	to drip	-pię -piesz, -nę -niesz
ponosić, ponieść	to suffer, to sustain, to incur, to bear	-szę -sisz, -niosę -niesiesz -niósł -nieśli<br />ponieść śmierć - to die<br />ponosić ryzyko - to incur risk<br />ponosić winę za (+ accusative) - to bear the blame for...<br>poniosło mnie - I got carried away
duszpasterz	priest, pastor	
nabijać, nabić	to load, to fill, to fill up	-am -asz, -biję -jesz<br />nabijać broń - to load a weapon<br />nabijać fajkę - to fill a pipe<br />nabijać butlę - to fill up a bottle<br />nabić sobie guza - to bump one's head
sponsor	sponsor	
blizna	scar	
stopień Celsjusza	degree Celsius, degree centigrade	Jest dwadzieścia pięć stopni Celsjusza - It's twenty-five degrees Celsius
interes	business, interest; deal	Gsg: -u<br>w czyimś interesie - in somebody's (best) interest<br />prowadzić interes - to be in business<br />zwijać interest - to go out of business<br />to nie twój interes - it is none of your business<br />pilnuj swojego interesu - mind your own business
luka	gap, crack, blank	
strzec, ustrzec	to guard, to protect, to keep (secret)	strzegę strzeżesz strzegł strzeż<br />strzec jak oka w głowie - to guard like the apple of one's eye
niedoszły	would-be, was to have been, failed, unrealized	
dzik	boar	
pęcherz, pęcherzyk	blister, bladder, bubble	Gsg: -a, -a
spuszczać, spuścić	to let down, to lower, to drop; to release	-am -asz, -szczę -ścisz<br />spuszczać oczy - to lower one's eyes<br />spuszczać głowę - to lower one's head<br />spuszczać statek na wodę - to launch a ship
hinduizm	Hinduism	Gsg: -u
wyro, wyrko	sack (slang for bed)	
rozszyfrowywać, rozszyfrować	to decipher (e.g. handwriting); to unravel (mystery); to see through (a person)	-wuję -wujesz, -ruję -rujesz<br />
wróg	enemy	Gsg: wroga, Npl: wrogowie, Gpl: wrogów<br>zaciekły wróg - archenemy<br>śmiertelny wróg - mortal enemy
komplement	compliment	Gsg: -u<br />prawić komuś komplementy - to pay compliments to somebody
śledź	herring	
uchwyt	handle, grip	Gsg: -u
frytki	chips (French fries)	Gsg: frytek
zrywać, zerwać	to tear off, to break off; to break up, to split up (with somebody)	-am -asz, zerwę zerwiesz zerwij
wędrować, przewędrować	to wander	-ruję -rujesz
słać, posłać	to send (literary)	ślę ślesz słał ślij
Irlandia	Ireland	Gsg: -ii
bandyta	criminal, thug	Npl: bandyci
marny	poor, miserable	pójść na marne - to go to waste
konsekwentny	consistant, constant	
zagorzały	fervent, ardent; heated	
krosta	pimple, spot, pustule	
zgorszenie	outrage, indignation; corruption	ze zgorszeniem - with indignation
przeróżny	various, numerous	
wędkarstwo	fishing	
Byk	Taurus	być pod znaku Byka / być Bykiem - to be a Taurus
wybiegać, wybiec	to run out, to dash out; to look ahead	-am -asz, wybiegnę wybiegniesz wybiegł wybiegnij<br />wybiegać z (+ genitive) - to run out from...
wartki	rapid, lively	wartki strumień/nurt - rapid
bazylika	basilica	
wrzask	scream, shriek; uproar	Gsg: -u
aspiryna	aspirin	
łosoś	salmon	
pinceta	tweezers	
wysłuchiwać, wysłuchać	to hear (out), to pay heed to	-am -asz, -chuję -chujesz
deska	board, plank	deska do prasowania - ironing board<br />deska surfingowa - surfboard<br />od deski do deski - from cover to cover<br />ostatnia deska ratunku - last resort
rakieta	rocket, missile; racket (sports)	
klasyk	classic; classic author	Gsg: -a
krzak, krzew	shrub, bush	"Gsg of krzak: -a, Gsg of krzew: -u<br>In the wild, usually ""krzak""<br>""Krzew"" for example in the garden or the park"
tępić, wytępić	to exterminate, to eradicate; to blunt, to dull	-pię -pisz
całość	wholeness, entirety	
przekształcenie	transformation, restructuring	
dokuczać, dokuczyć	to annoy, to bother, to irk, to tease, to taunt	-am -asz, -czę -czysz<br />dokuczać komuś (dative) z powodu czegoś (genitive) - to tease somebody about something
pycha	pride, haughtiness; yummy! (colloq.)	
rozpuszczać się, rozpuścić się	to dissolve, to melt	-am -asz, -szczę -ścisz
odnajdywać się/odnajdować się, odnaleźć się	to be found, to turn up; to pull oneself together	-duję -dujesz, -najdę -dziesz odnalazł odnaleźli odnajdź<br />Do tej pory się nie odnalazł - So far it hasn't been found<br />Muszę się odnaleźć - I have to pull myself together
imbryk, czajniczek	teapot	"Gsg: -a, czajniczka<br />for serving tea<br />see also ""czajnik"" for teapot/kettle"
wierność	faithfulness	
lingwista, językoznawca	linguist	
migotać, zamigotać	to flicker, to twinkle, to glimmer	migoczę/migotam migoczesz/migotasz
grafik	graphics designer; chart	Gsg: -a, Npl: graficy
sumienie	conscience	
zmysł	sense; senses, consciousness	Gsg: -u<br />zmysł węchu - sense of smell<br />być przy zdrowych zmysłach - to be in one's right senses<br />postradać zmysły - to go insane<br />utrata zmysłów - insanity
cucić, ocucić	to resuscitate, to revive	-cę -cisz
koniugacja	conjugation (grammar)	
zjawiać się, zjawić się	to turn up, to show up	-iam -iasz, -wię -wisz
uściskać, uścisnąć	to embrace, to hug, to grasp	-am -asz, -snę -śniesz
intuicja	intuition	
żebrak	beggar	Npl: żebracy
renta	annuity, pension	renta starcza - old-age pension<br />być na rencie - to be a pensioner<br />renta inwalidzka - disability pension
inwazja, najazd	invasion	Gsg of najazd: -u
talent	talent	Gsg: -u<br>mieć talent do (+ genitive) - to have a talent for...<br>Nie mam talentu do języków - I have no talent for languages
pierwszeństwo	priority, precedence	mieć pierwszeństwo nad czymś (instrumental) - to take precedence over something<br />pierwszeństwo przejazdu - right of way<br />ustępować pierwszeństwa - to yield, to give way
ślepa uliczka	blind alley, dead end	
złościć, zezłościć	to anger, to irritate	złoszczę złościsz złość
obiecywać, obiecać	to promise	-cuję -cujesz, -am -asz<br />obiecywać komuś coś - to promise somebody something
zazdrośnik, zazdrośnica	jealous man, jealous woman	
odbudowa	reconstruction, rebuilding, restoration	być w odbudowie - to be reconstructed
cielę	calf (animal)	Npl: cielęta
mawiać	to say (vf)	-iam -iasz
panować, zapanować	to rule, to control, to dominate	panuję -jesz
haracz	tribute (forced), exaction, extortion	Gsg: -a
kolarstwo	cycling (competitive)	
ścieki	sewage, gutter	plural, Gpl: ścieków
zaciekły	fierce, rabid, furious; obstinate	
ingerować, zaingerować	to interfere	-ruję -rujesz<br>ingerować w (+ locative) - to interfere in...
przyglądać się, przyjrzeć się	to observe, to watch (vi)	-am -asz, -rzę -rzysz przyj<br />przyglądać się komuś/czemuś (dative) - to observe somebody/something<br />przyglądać się w lustrze - to look at oneself in the mirror
przemysłowy	industrial, factory, manufacturing (adj)	
zmagać się	to struggle, to wrestle (vi)	-am -asz<br>zmagać się z (+ instrumental) - to struggle/wrestle with...
słuszny	correct; just, legitimate	słusznego wzrostu - of considerable height
zeznanie	testimony	
Biegun północny	the North pole	
moda	fashion	
wzorzec	model, prototype, pattern, standard	Gsg: wzorca<br />wzorzec osobowy - role model<br />wzorzec miary - standard of measure<br />wzorzec wagi - standard weight
bąk	bittern, horsefly; blunder, fart	
zaduma	reverie, meditation	być pogrążonym w głębokiej zadumie - to be deep in reverie<br>wyrwać kogoś z zadumy - to bring somebody out of his/her reverie
dług, zadłużenie	debt	Gsg of dług: -u
zajęcie	occupation, pursuit	
osiedle	set of blocks (buildings); housing development	In Poland osiedle is also a type of small district in a city/town/cillage
komenda	command; headquarters	
dezodorant	deodorant	Gsg: -u
mur	brickwork, wall	Gsg: -u
rozdawać, rozdać	to give out, to hand out; to deal (cards); to give (autograph); to give away (money)	rozdaję -dajesz, rozdam -dasz -dadzą<br />rozdawać pomiędzy (+ accusative) - to give out to...<br />rozdawać majątek między ubogich - to give one's fortune away to the poor
masaż	massage	Gsg: -u
bezwzględny	ruthless, strict, complete, absolute	
zarząd	board, management	Gsg: -u
norweski	Norwegian (attr, language)	
podatny	susceptible	podatny na (+ accusative) - to be susceptible/prone to...<br>podatny na przeziębienia - susceptible to colds
nałogowiec	addict	Gsg: nałogowca, Npl: nałogowcy
zawodny	unreliable	System jest bardzo zawodny - The system is very unreliable
prowokować, sprowokować	to provoke	-kuję -kujesz<br />prowokować komuś - to provoke somebody
przepalać się, przepalić się	to burn out; to blow (fuse, light bulb)	-am -asz, -lę -lisz
zuchwały	impudent, daring	
gąbka	sponge	
kotwica	anchor	rzucić kotwicę - to cast anchor<br />stać na kotwicy - to ride at anchor
jedwab	silk	Gsg: -u
przenikliwy	penetrating, piercing; sagacious, shrewd	
